ID,Math,ELA,Science,SocialStudies,school
1,78.8,81.26,77.81,91.92,A
2,96.64,90.5,87.93,100,A
3,79.43,79.09,84.19,87.05,A
4,85.19,80.48,85.48,89.87,A
5,73.96,81.5,76.13,91.08,A
6,79.42,77.55,78.05,88.53,A
7,79.01,82.32,79.43,92.02,A
8,78.98,77.4,77.01,88.62,A
9,77.01,78.8,74.48,90.39,A
10,87.4,85.5,85.87,94.79,A
11,61.87,74.81,64.08,86.17,A
12,75.43,71.78,80.1,80.89,A
13,85.98,84.24,83.43,94.49,A
14,90.59,81.91,87.28,92.13,A
15,83.86,85.85,79.42,96.79,A
16,67.18,74.54,70.46,85.08,A
17,75.51,78.45,79.94,86.95,A
18,71.68,77.18,78.05,84.82,A
19,70.85,80.05,72.68,90.16,A
20,79.27,81.66,83.34,89.61,A
21,90.9,83.7,86.48,94.44,A
22,80.08,77.89,81.54,87.54,A
23,72.61,71.07,74.45,81.93,A
24,87.02,89.15,87.67,97.3,A
25,79.11,77.88,80.08,87.67,A
26,81.53,78.27,79.29,89.42,A
27,74.15,79.3,77.52,88.48,A
28,75.53,82.33,71.98,94.49,A
29,77.49,77.4,75.21,89.21,A
30,66.98,73.33,71.91,83.27,A
31,87.45,83.62,81.35,95.54,A
32,79.99,73.9,80.71,84.08,A
33,81.69,77.27,81.78,87.45,A
34,76.99,79.62,69.79,93.69,A
35,78.21,78.07,77.53,89.01,A
36,92.69,79.77,84.91,92.31,A
37,71.2,73.29,78.24,81.43,A
38,83.22,79.79,85.28,88.63,A
39,76.83,76.88,77.54,87.47,A
40,83.2,80.41,82.47,90.18,A
41,76.77,77.69,79.55,87.08,A
42,72.51,71.97,71.24,84.2,A
43,87.15,86.86,87.47,95.23,A
44,80.52,81.43,80.11,91.55,A
45,83.32,82.1,82.71,91.72,A
46,77.22,81.29,75.72,92.26,A
47,93.93,82.58,91.37,92.41,A
48,87.71,83.29,86.65,92.63,A
49,72.94,77.41,78.44,85.6,A
50,87.58,83.9,81.64,95.8,A
51,69.7,75.06,73.3,84.91,A
52,77.62,75.67,76.33,87.08,A
53,79.6,84.51,81.4,93.15,A
54,83.32,77.61,86.02,86.22,A
55,84.83,83.96,79.47,95.9,A
56,69.83,78.71,76.64,86.46,A
57,71.35,77.94,76.67,86.34,A
58,84.24,78.21,80.47,89.75,A
59,76.09,78.91,77.42,88.88,A
60,75.77,77.18,76.6,87.18,A
61,76.71,77.53,78.37,87.42,A
62,64.43,75.46,70.86,84.55,A
63,88.12,84.12,85.87,93.64,A
64,98.11,91.89,95.1,100,A
65,71.84,77.68,76.48,86.29,A
66,70.33,73.5,75.62,82.54,A
67,87.13,84,88.11,92.24,A
68,85.08,84.11,80.59,95.59,A
69,78.09,81.42,79.32,90.72,A
70,85.47,84.6,82.42,95.15,A
71,74.18,73.04,75.92,83.49,A
72,82.99,83.75,80.01,94.44,A
73,85.51,86.66,86.47,94.99,A
74,64.4,70.58,73.6,78.79,A
75,61.64,74.3,72.19,81.76,A
76,81.14,79.51,88.81,85.78,A
77,100,93.44,98.31,100,A
78,77.88,82.23,83.07,89.68,A
79,90.36,78.97,80.49,92.82,A
80,80.88,82.48,81.66,91.95,A
81,78.68,81.57,74.78,93.52,A
82,78.94,76.3,71.48,90.29,A
83,76.29,81.78,68.9,95.55,A
84,80.42,75.37,82.11,84.98,A
85,68.41,76.38,72.9,85.44,A
86,90.12,88.61,88.02,97.63,A
87,67.56,74.22,77.29,81.4,A
88,64.68,72.3,71.14,81.54,A
89,81.55,80.63,84.04,88.84,A
90,70,76.42,68.54,88.36,A
91,78.56,84.33,77.84,94.3,A
92,80.18,84.63,80.01,94.13,A
93,74.96,78.17,70.61,91.25,A
94,70.69,76.38,74.42,85.9,A
95,71.77,75.91,73.28,86.74,A
96,89.78,88.63,86.61,98.15,A
97,82.63,77.74,83.52,87.41,A
98,74.39,72.34,77.63,82.06,A
99,77.95,77.92,81.89,86.45,A
100,91.86,85.59,85.42,96.86,A
101,86.54,84.08,87.67,92.36,B
102,79.77,82.25,78.14,93.04,B
103,80.4,83.84,80.43,93.2,B
104,87.76,83.38,80.93,95.66,B
105,87.39,83.38,82.07,94.82,B
106,89.29,82.61,82.68,94.56,B
107,79.67,76.31,82.1,85.56,B
108,80.21,78.51,84.27,86.6,B
109,84.53,83.55,84.38,92.76,B
110,76.76,84.13,76.19,94.41,B
111,72.72,76.69,76.64,85.99,B
112,70.09,73.69,73.06,83.96,B
113,79.78,77.41,78.28,88.56,B
114,76.54,76.45,77.7,86.65,B
115,78.97,81.08,80.77,90.11,B
116,74.67,77.66,82.79,84.4,B
117,74.42,75.92,80.12,83.85,B
118,96.56,88.76,94.23,97.29,B
119,78.9,79.28,77.18,90.14,B
120,80.04,80.28,84.88,87.82,B
121,66.13,71.95,69.16,82.88,B
122,84.31,81.23,85.13,90.48,B
123,71.52,81.62,73.15,91.62,B
124,79.13,79.34,83.51,87.56,B
125,82.34,82.71,79.2,93.62,B
126,89.34,80,89.46,89.07,B
127,80.93,78.33,77.22,90.24,B
128,72.94,72.44,74.17,83.5,B
129,76.37,80.21,76.75,90.44,B
130,72.56,72.19,75.79,82.22,B
131,87.16,80.34,84.61,90.9,B
132,86.43,80.53,86.37,89.78,B
133,80.54,80.39,80.62,90.27,B
134,80.95,82.62,80.08,92.48,B
135,70.51,79.3,74.08,88.79,B
136,75.35,75.63,74.43,87.04,B
137,88.76,83.78,86.87,93.54,B
138,77.1,83.64,76.69,93.82,B
139,75.83,80.09,77.77,89.5,B
140,84.94,85.8,85.63,94.29,B
141,88.21,82.25,83.27,93.69,B
142,82.27,80.81,79.59,91.66,B
143,80.36,78.67,77.54,90.02,B
144,84.01,80.33,81.83,90.97,B
145,76.35,78.55,73.8,90.44,B
146,79.95,83.14,83.09,91.13,B
147,83.52,85.53,85.64,93.52,B
148,89.81,82.65,84.59,93.86,B
149,75.87,78.85,77.37,88.5,B
150,81.23,78.22,75.18,91.38,B
151,71.17,79.24,72.68,89.24,B
152,83.38,80.92,81.58,91.46,B
153,79.76,82.05,78.2,92.71,B
154,67.81,71.11,72.77,81.09,B
155,85.09,79.68,85.75,88.94,B
156,85.4,78.55,77.61,92.14,B
157,84.54,79.23,82.41,89.77,B
158,75.39,77.59,74.99,88.42,B
159,94.43,90.58,87.64,100,B
160,84.44,79.11,80.86,90.52,B
161,69.36,76.76,71.22,87.32,B
162,88.6,80.76,85.18,91.61,B
163,72.26,75.63,74.89,85.68,B
164,74.25,73.32,81.09,81.13,B
165,72.25,79.37,74.15,89.44,B
166,74.39,78.57,75.68,88.78,B
167,71.83,73.5,76.1,83.1,B
168,76.9,81.23,75.39,92.11,B
169,85.74,79.78,86.39,88.92,B
170,68.29,80.81,75.16,88.81,B
171,76.89,74.97,78.62,84.99,B
172,82.45,79.01,80.85,89.57,B
173,79.85,82.14,77.83,92.91,B
174,86.68,85.06,79.64,97.27,B
175,68.37,75.74,68.74,87.22,B
176,74.91,76.52,73.48,88.24,B
177,81.51,84.28,80.69,94.02,B
178,74.67,75.14,78.62,84.36,B
179,90.53,83.69,86.15,94.31,B
180,68.99,75.98,77.24,83.55,B
181,82.93,83.49,84.49,92.24,B
182,82.45,80.95,82.22,90.98,B
183,75.13,79.41,74.44,90.55,B
184,74.08,73.84,77.2,83.56,B
185,88.37,83.61,83.87,94.65,B
186,85.22,81.58,81.01,92.96,B
187,75.77,75.97,75.2,87.38,B
188,89,84.23,86.88,93.63,B
189,78,77.74,81.39,86.31,B
190,76.59,76.28,74.44,87.97,B
191,83.32,79.92,79.93,91.26,B
192,73.22,77.14,76.55,86.56,B
193,88.34,81.34,85.18,91.98,B
194,71.93,79.2,75.28,88.43,B
195,82.62,82.84,79.47,93.93,B
196,89.23,88.23,87.33,97.2,B
197,90.51,89.04,90.32,96.98,B
198,76.74,72.77,74.07,85.11,B
199,75.43,81.77,78.91,90.41,B
200,89.66,80.03,85.7,90.64,B
201,81.29,83.78,80.44,93.66,B
202,79.13,84.7,80.43,93.86,B
203,64.89,74.99,65.7,86.61,B
204,80.16,80.75,79.74,90.79,B
205,87.86,83.19,83.52,94.35,B
206,80.74,78.59,77.85,89.97,B
207,76.7,80.63,78.59,89.95,B
208,98.61,87.41,89.66,99.07,B
209,81.6,78.2,81.6,88.38,B
210,91.79,85.69,85.15,96.83,B
211,78.39,81.77,83.78,89.04,B
212,72.47,82.18,72.89,92.42,B
213,87.11,78.43,83.18,89.87,B
214,85.41,81.86,85.67,90.91,B
215,78.7,81.6,78.44,91.75,B
216,71.85,77.68,76.57,86.63,B
217,74.37,78.49,78.24,87.28,B
218,91.29,85.24,89.71,94.17,B
219,88.56,84.4,88.02,93.05,B
220,76.91,75.77,80.76,84.62,B
221,75.69,82.14,79.45,90.75,B
222,79.78,69.61,76.75,82.21,B
223,76.9,77.17,77.95,87.43,B
224,87.33,84.2,82.27,95.43,B
225,87.1,78.42,90.36,86.34,B
226,77.1,75.35,73.34,87.93,B
227,72.32,78.81,72.46,89.46,B
228,80.14,77.98,85.18,85.83,B
229,72.78,78.62,74.04,88.87,B
230,68.99,77.05,75.2,85.54,B
231,87.01,85.3,80.89,97.07,B
232,80.12,77.62,82.03,86.76,B
233,90.02,85.77,83.56,97.16,B
234,85.37,85.45,80.04,96.74,B
235,77.56,81.09,77.78,91.15,B
236,69.67,77.62,69.29,88.92,B
237,78.98,77.21,79.66,87.42,B
238,76.76,77.16,76.52,87.86,B
239,98.45,85.8,91.36,96.56,B
240,83.96,78.66,79.68,90.29,B
241,78.77,81.29,86.81,87.42,B
242,88.3,85.08,84.56,95.17,B
243,70.16,74.86,78.51,82.29,B
244,74.91,78.62,79.35,87.17,B
245,77.92,79.12,79.58,88.6,B
246,88.64,83.85,87.18,93.15,B
247,93.87,85.63,88.73,96.28,B
248,84.07,86.66,88.76,93.14,B
249,96.94,81.95,87.41,94.33,B
250,80.42,80.03,74.54,92.83,B
